t_s,rss_kb,pcpu
.004357343,1152,0.0
.122279540,1152,0.0
.228106422,1152,0.0
.333791751,1152,0.0
.439353628,1152,0.0
.544693837,1152,0.0
.649994040,1152,0.0
.755236357,1152,0.0
.860430702,1152,0.0
.965602750,1152,0.0
1.089726989,1152,0.0
1.195975425,1152,0.0
1.301676030,1152,0.0
1.407167485,1152,0.0
1.512590431,1152,0.0
1.617901613,1152,0.0
1.723252391,1152,0.0
1.828545224,1152,0.0
1.933846114,1152,0.0
2.039222348,1152,0.0
2.144576246,1152,0.0
2.249874698,1152,0.0
2.355176321,1152,0.0
2.460405789,1152,0.0
2.565624721,1152,0.0
2.670861172,1152,0.0
2.776334846,1152,0.0
2.881502001,1152,0.0
2.986725361,1152,0.0
3.091939087,1152,0.0
3.197193203,1152,0.0
3.302433978,1152,0.0
3.407598844,1152,0.0
3.512782547,1152,0.0
3.617982574,1152,0.0
3.723256067,1152,0.0
3.828542337,1152,0.0
3.933799170,1152,0.0
4.039103423,1152,0.0
4.146334943,1152,0.0
4.253040051,1152,0.0
4.358758733,1152,0.0
